Table Name,State Code,District Code,State/District,Division,Sub-Division,Group,Family,NCO Name,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
B0625SCA,29,000,Karnataka,0,00,000,0000,Total,1755235,1227445,527790,826264,560112,266152,928971,667333,261638
B0625SCA,29,000,Karnataka,1,00,000,0000,"Legislators, Senior Officials and Managers",43418,38108,5310,12057,10316,1741,31361,27792,3569
B0625SCA,29,000,Karnataka,1,11,000,0000,Legislators and Senior Officials,7715,6080,1635,3542,2604,938,4173,3476,697
B0625SCA,29,000,Karnataka,1,11,111,0000,Legislators,2276,1491,785,1797,1136,661,479,355,124
B0625SCA,29,000,Karnataka,1,11,111,1111,"Elected Officials, Union Government",12,6,6,12,6,6,0,0,0
B0625SCA,29,000,Karnataka,1,11,111,1112,"Elected Officials, State Government",172,135,37,108,81,27,64,54,10
B0625SCA,29,000,Karnataka,1,11,111,1113,"Elected Officials, Local Bodies",2074,1332,742,1677,1049,628,397,283,114
B0625SCA,29,000,Karnataka,1,11,111,1119,"Elected Officials, N.E.C.",18,18,0,0,0,0,18,18,0
B0625SCA,29,000,Karnataka,1,11,112,0000,Administrative & Executive Officials,4335,3668,667,1030,890,140,3305,2778,527
B0625SCA,29,000,Karnataka,1,11,112,1121,"Administrative and Executive Officials, Union Government",415,366,49,71,63,8,344,303,41
B0625SCA,29,000,Karnataka,1,11,112,1122,"Administrative and Executive Officials, State Government",3736,3148,588,885,757,128,2851,2391,460
B0625SCA,29,000,Karnataka,1,11,112,1123,"Administrative and Executive Officials, Quasi Government",26,23,3,6,6,0,20,17,3
B0625SCA,29,000,Karnataka,1,11,112,1124,"Administrative and Executive Officials, Local Bodies",92,78,14,58,58,0,34,20,14
B0625SCA,29,000,Karnataka,1,11,112,1129,"Administrative and Executive Officials, Government and Local Bodies, N.E.C.",66,53,13,10,6,4,56,47,9
B0625SCA,29,000,Karnataka,1,11,113,0000,Traditional Chiefs and Heads of Villages,3,3,0,0,0,0,3,3,0
B0625SCA,29,000,Karnataka,1,11,113,1130,Traditional Chiefs and Heads of Villages,3,3,0,0,0,0,3,3,0
B0625SCA,29,000,Karnataka,1,11,114,0000,Senior Officials of Special- Interest Organisations,1101,918,183,715,578,137,386,340,46
B0625SCA,29,000,Karnataka,1,11,114,1141,Senior Officials of Political Party Organisations,1084,903,181,709,572,137,375,331,44
B0625SCA,29,000,Karnataka,1,11,114,1142,"Senior Officials of Employers, Workers and Other Economic Interest Organisations",17,15,2,6,6,0,11,9,2
B0625SCA,29,000,Karnataka,1,12,000,0000,Corporate Managers,35409,31772,3637,8461,7664,797,26948,24108,2840
B0625SCA,29,000,Karnataka,1,12,121,0000,Directors and Chief Executives,19014,17324,1690,5479,4962,517,13535,12362,1173
B0625SCA,29,000,Karnataka,1,12,121,1211,"Working Proprietors and Directors, Electricity, Gas, Water Supply",382,364,18,118,106,12,264,258,6
B0625SCA,29,000,Karnataka,1,12,121,1212,"Directors, Financial Institutions",55,47,8,18,18,0,37,29,8
B0625SCA,29,000,Karnataka,1,12,121,1213,"Working Proprietors and Directors, Mining, Construction",7804,7609,195,2329,2286,43,5475,5323,152
B0625SCA,29,000,Karnataka,1,12,121,1214,"Working Proprietors and Directors, Manufacturing, Wholesale & Retail Trade",7275,6154,1121,2118,1751,367,5157,4403,754
B0625SCA,29,000,Karnataka,1,12,121,1215,Working Proprietors and Directors and Related Executives in Transport and Communication,672,648,24,250,240,10,422,408,14
B0625SCA,29,000,Karnataka,1,12,121,1216,"Working Proprietors and Directors, Storage and Warehousing",6,6,0,0,0,0,6,6,0
B0625SCA,29,000,Karnataka,1,12,121,1217,"Working Proprietors and Directors, Lodging and Catering Services",907,773,134,284,238,46,623,535,88
B0625SCA,29,000,Karnataka,1,12,121,1218,"Working Proprietors and Directors, Recreation and Entertainment",68,68,0,12,12,0,56,56,0
B0625SCA,29,000,Karnataka,1,12,121,1219,"Working Proprietors and Directors, Other Services, N.E.C.",1845,1655,190,350,311,39,1495,1344,151
B0625SCA,29,000,Karnataka,1,12,122,0000,Production and Operations Department Managers,10802,9557,1245,2417,2194,223,8385,7363,1022
