Table Name,State Code,District Code,State/District,Division,Sub-Division,Group,Family,NCO Name,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
B0825STA,29,000,Karnataka,0,00,000,0000,Total,563754,395216,168538,317632,214372,103260,246122,180844,65278
B0825STA,29,000,Karnataka,1,00,000,0000,"Legislators, Senior Officials and Managers",13936,12028,1908,5244,4308,936,8692,7720,972
B0825STA,29,000,Karnataka,1,11,000,0000,Legislators and Senior Officials,2746,2018,728,1582,1062,520,1164,956,208
B0825STA,29,000,Karnataka,1,11,111,0000,Legislators,1010,578,432,872,492,380,138,86,52
B0825STA,29,000,Karnataka,1,11,111,1111,"Elected Officials, Union Government",4,4,0,2,2,0,2,2,0
B0825STA,29,000,Karnataka,1,11,111,1112,"Elected Officials, State Government",66,44,22,48,30,18,18,14,4
B0825STA,29,000,Karnataka,1,11,111,1113,"Elected Officials, Local Bodies",932,524,408,818,458,360,114,66,48
B0825STA,29,000,Karnataka,1,11,111,1119,"Elected Officials, N.E.C.",8,6,2,4,2,2,4,4,0
B0825STA,29,000,Karnataka,1,11,112,0000,Administrative & Executive Officials,1348,1138,210,392,332,60,956,806,150
B0825STA,29,000,Karnataka,1,11,112,1121,"Administrative and Executive Officials, Union Government",144,126,18,24,20,4,120,106,14
B0825STA,29,000,Karnataka,1,11,112,1122,"Administrative and Executive Officials, State Government",1152,970,182,344,292,52,808,678,130
B0825STA,29,000,Karnataka,1,11,112,1123,"Administrative and Executive Officials, Quasi Government",4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,1,11,112,1124,"Administrative and Executive Officials, Local Bodies",32,24,8,20,16,4,12,8,4
B0825STA,29,000,Karnataka,1,11,112,1129,"Administrative and Executive Officials, Government and Local Bodies, N.E.C.",16,14,2,4,4,0,12,10,2
B0825STA,29,000,Karnataka,1,11,114,0000,Senior Officials of Special- Interest Organisations,388,302,86,318,238,80,70,64,6
B0825STA,29,000,Karnataka,1,11,114,1141,Senior Officials of Political Party Organisations,384,298,86,318,238,80,66,60,6
B0825STA,29,000,Karnataka,1,11,114,1142,"Senior Officials of Employers, Workers and Other Economic Interest Organisations",4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,1,12,000,0000,Corporate Managers,11074,9910,1164,3624,3216,408,7450,6694,756
B0825STA,29,000,Karnataka,1,12,121,0000,Directors and Chief Executives,6352,5712,640,2478,2172,306,3874,3540,334
B0825STA,29,000,Karnataka,1,12,121,1211,"Working Proprietors and Directors, Electricity, Gas, Water Supply",130,126,4,56,54,2,74,72,2
B0825STA,29,000,Karnataka,1,12,121,1212,"Directors, Financial Institutions",28,18,10,6,2,4,22,16,6
B0825STA,29,000,Karnataka,1,12,121,1213,"Working Proprietors and Directors, Mining, Construction",1866,1828,38,684,672,12,1182,1156,26
B0825STA,29,000,Karnataka,1,12,121,1214,"Working Proprietors and Directors, Manufacturing, Wholesale & Retail Trade",2836,2396,440,1148,924,224,1688,1472,216
B0825STA,29,000,Karnataka,1,12,121,1215,Working Proprietors and Directors and Related Executives in Transport and Communication,356,350,6,180,178,2,176,172,4
B0825STA,29,000,Karnataka,1,12,121,1216,"Working Proprietors and Directors, Storage and Warehousing",6,6,0,2,2,0,4,4,0
B0825STA,29,000,Karnataka,1,12,121,1217,"Working Proprietors and Directors, Lodging and Catering Services",548,450,98,278,226,52,270,224,46
B0825STA,29,000,Karnataka,1,12,121,1218,"Working Proprietors and Directors, Recreation and Entertainment",24,24,0,10,10,0,14,14,0
B0825STA,29,000,Karnataka,1,12,121,1219,"Working Proprietors and Directors, Other Services, N.E.C.",558,514,44,114,104,10,444,410,34
B0825STA,29,000,Karnataka,1,12,122,0000,Production and Operations Department Managers,3366,3002,364,956,868,88,2410,2134,276
B0825STA,29,000,Karnataka,1,12,122,1221,"Production and Operations Department Managers in Agriculture, Hunting, Forestry & Fishing",346,294,52,212,166,46,134,128,6
B0825STA,29,000,Karnataka,1,12,122,1222,Production and Operations Department Managers in Manufacturing,722,670,52,122,120,2,600,550,50
B0825STA,29,000,Karnataka,1,12,122,1223,Production and Operations Department Managers in Construction,26,24,2,14,14,0,12,10,2
B0825STA,29,000,Karnataka,1,12,122,1224,Production and Operations Department Managers in Wholesale and Retail Trade,118,112,6,34,32,2,84,80,4
B0825STA,29,000,Karnataka,1,12,122,1225,Production and Operations Department Managers in Restaurants and Hotels,142,138,4,42,40,2,100,98,2
B0825STA,29,000,Karnataka,1,12,122,1226,"Production and Operations Department Managers in Transport, Storage and Communication",698,640,58,298,286,12,400,354,46
B0825STA,29,000,Karnataka,1,12,122,1227,Production and Operations Department Managers in Business Services,1066,938,128,140,134,6,926,804,122
B0825STA,29,000,Karnataka,1,12,122,1228,"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",34,20,14,14,10,4,20,10,10
B0825STA,29,000,Karnataka,1,12,122,1229,"Production and Operations Department Managers, N.E.C.",214,166,48,80,66,14,134,100,34
B0825STA,29,000,Karnataka,1,12,123,0000,Other Department Managers,1356,1196,160,190,176,14,1166,1020,146
B0825STA,29,000,Karnataka,1,12,123,1231,Finance and Administration Department Managers,70,64,6,14,14,0,56,50,6
B0825STA,29,000,Karnataka,1,12,123,1232,Personnel and Industrial Relations Managers,10,10,0,4,4,0,6,6,0
B0825STA,29,000,Karnataka,1,12,123,1233,Sales and Marketing Managers,544,498,46,52,52,0,492,446,46
B0825STA,29,000,Karnataka,1,12,123,1234,Advertising and Public Relations Department Managers,8,8,0,0,0,0,8,8,0
B0825STA,29,000,Karnataka,1,12,123,1235,Supply and Distribution Department Managers,2,2,0,0,0,0,2,2,0
B0825STA,29,000,Karnataka,1,12,123,1236,"Manager, Computing Services",8,8,0,4,4,0,4,4,0
B0825STA,29,000,Karnataka,1,12,123,1237,"Manager, Research and Development",22,10,12,6,4,2,16,6,10
B0825STA,29,000,Karnataka,1,12,123,1239,"Other Department Managers, N.E.C.",692,596,96,110,98,12,582,498,84
B0825STA,29,000,Karnataka,1,13,000,0000,General Managers,116,100,16,38,30,8,78,70,8
B0825STA,29,000,Karnataka,1,13,130,0000,General Managers,116,100,16,38,30,8,78,70,8
B0825STA,29,000,Karnataka,1,13,130,1301,"General Managers, Forestry and Fishing",32,24,8,26,18,8,6,6,0
B0825STA,29,000,Karnataka,1,13,130,1302,General Managers in Manufacturing,26,26,0,4,4,0,22,22,0
B0825STA,29,000,Karnataka,1,13,130,1304,General Managers in Wholesale and Retail Trade,4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,1,13,130,1306,"General Managers in Transport, Storage and Communications",10,10,0,0,0,0,10,10,0
B0825STA,29,000,Karnataka,1,13,130,1307,General Managers of Business Services,24,22,2,8,8,0,16,14,2
B0825STA,29,000,Karnataka,1,13,130,1308,"General Managers in Personal Care, Cleaning and Related Services",4,0,4,0,0,0,4,0,4
B0825STA,29,000,Karnataka,1,13,130,1309,"General Managers, N.E.C.",16,14,2,0,0,0,16,14,2
B0825STA,29,000,Karnataka,2,00,000,0000,Professionals,17614,13476,4138,5924,4540,1384,11690,8936,2754
B0825STA,29,000,Karnataka,2,21,000,0000,"Physical, Mathematical and Engineering Science Professionals",5246,4410,836,708,638,70,4538,3772,766
B0825STA,29,000,Karnataka,2,21,211,0000,"Physicists, Chemists and Related Professionals",198,172,26,38,38,0,160,134,26
B0825STA,29,000,Karnataka,2,21,211,2111,Physicists and Astronomers,18,16,2,12,12,0,6,4,2
B0825STA,29,000,Karnataka,2,21,211,2113,Chemists,48,42,6,22,22,0,26,20,6
B0825STA,29,000,Karnataka,2,21,211,2114,Geologists and Geophysicists,4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,2,21,211,2119,"Physical Scientists, N.E.C.",128,110,18,4,4,0,124,106,18
B0825STA,29,000,Karnataka,2,21,212,0000,"Mathematicians, Statisticians and Related Professionals",4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,2,21,212,2122,Statisticians,4,4,0,0,0,0,4,4,0
B0825STA,29,000,Karnataka,2,21,213,0000,Computing Professionals,2180,1676,504,192,146,46,1988,1530,458
B0825STA,29,000,Karnataka,2,21,213,2131,Computer Systems Designers and Analysts,32,22,10,0,0,0,32,22,10
B0825STA,29,000,Karnataka,2,21,213,2132,Computer Programmers,1778,1390,388,82,80,2,1696,1310,386
B0825STA,29,000,Karnataka,2,21,213,2139,"Computer Professionals, N.E.C.",370,264,106,110,66,44,260,198,62
B0825STA,29,000,Karnataka,2,21,214,0000,"Architects, Engineers and Related Professionals",2864,2558,306,478,454,24,2386,2104,282
B0825STA,29,000,Karnataka,2,21,214,2141,"Architects, Town and Traffic Planners",40,28,12,0,0,0,40,28,12
B0825STA,29,000,Karnataka,2,21,214,2142,Civil Engineers,536,502,34,76,74,2,460,428,32
B0825STA,29,000,Karnataka,2,21,214,2143,Electrical Engineers,336,296,40,70,64,6,266,232,34
