Table Name,State Code,District Code,Area Name,Division,Sub Division,NCO Name,Total/Rural/Urban,Industrial Category - Total - Persons,Industrial Category - Total - Males,Industrial Category - Total - Females,"Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Persons","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Males","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0123A,29,000,State - Karnataka,0,00,Total,Total,12241238,9170207,3071031,988545,674620,313925,121680,97358,24322,571237,281591,289646,2314447,1675486,638961,96417,87398,9019,1301793,1163756,138037,10011,9739,272,1785870,1579719,206151,1024063,991493,32570,327574,274704,52870,4743,3816,927,415953,320898,95055,436799,362269,74530,693840,576336,117504,1000954,451228,549726,111194,58892,52302,1036118,560904,475214
B0123A,29,000,State - Karnataka,0,00,Total,Rural,4442221,3192446,1249775,817717,543864,273853,86535,67963,18572,315950,143785,172165,693304,481333,211971,37535,35320,2215,450460,408474,41986,3269,3186,83,463330,394475,68855,386937,378102,8835,125694,105030,20664,648,617,31,27177,22947,4230,74227,65712,8515,155743,134280,21463,386185,168243,217942,60413,31595,28818,357097,207520,149577
B0123A,29,000,State - Karnataka,0,00,Total,Urban,7799017,5977761,1821256,170828,130756,40072,35145,29395,5750,255287,137806,117481,1621143,1194153,426990,58882,52078,6804,851333,755282,96051,6742,6553,189,1322540,1185244,137296,637126,613391,23735,201880,169674,32206,4095,3199,896,388776,297951,90825,362572,296557,66015,538097,442056,96041,614769,282985,331784,50781,27297,23484,679021,353384,325637
B0123A,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Total,642324,573834,68490,9637,8088,1549,3048,2916,132,373,341,32,119239,108237,11002,4920,4640,280,68240,66607,1633,11,11,0,163080,150029,13051,32521,30351,2170,37749,34441,3308,34,28,6,27732,23071,4661,59302,50411,8891,72543,60766,11777,23557,16416,7141,427,382,45,19911,17099,2812
B0123A,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Rural,119889,106354,13535,7806,6395,1411,1111,1053,58,37,33,4,12482,11643,839,1431,1384,47,13618,13419,199,0,0,0,33212,29698,3514,9186,8512,674,11007,9830,1177,0,0,0,1012,925,87,4801,4392,409,14531,11296,3235,4162,3254,908,50,50,0,5443,4470,973
B0123A,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Urban,522435,467480,54955,1831,1693,138,1937,1863,74,336,308,28,106757,96594,10163,3489,3256,233,54622,53188,1434,11,11,0,129868,120331,9537,23335,21839,1496,26742,24611,2131,34,28,6,26720,22146,4574,54501,46019,8482,58012,49470,8542,19395,13162,6233,377,332,45,14468,12629,1839
B0123A,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Total,44721,35647,9074,360,333,27,32,26,6,27,20,7,1086,920,166,552,494,58,335,307,28,2,2,0,348,327,21,647,565,82,54,42,12,0,0,0,390,309,81,730,599,131,31829,25301,6528,2868,2043,825,208,191,17,5253,4168,1085
B0123A,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Rural,16496,12398,4098,150,138,12,12,6,6,11,9,2,181,171,10,168,163,5,112,102,10,0,0,0,124,124,0,100,92,8,14,14,0,0,0,0,27,22,5,69,63,6,11091,8097,2994,838,602,236,50,50,0,3549,2745,804
B0123A,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Urban,28225,23249,4976,210,195,15,20,20,0,16,11,5,905,749,156,384,331,53,223,205,18,2,2,0,224,203,21,547,473,74,40,28,12,0,0,0,363,287,76,661,536,125,20738,17204,3534,2030,1441,589,158,141,17,1704,1423,281
B0123A,29,000,State - Karnataka,1,12,Corporate Managers,Total,590407,531558,58849,9091,7601,1490,2952,2826,126,311,286,25,115173,104502,10671,4247,4031,216,67710,66130,1580,9,9,0,162445,149440,13005,31665,29589,2076,37575,34290,3285,25,19,6,26591,22098,4493,57514,48851,8663,39865,34682,5183,20591,14297,6294,199,171,28,14444,12736,1708
