Table Name,State Code,District Code,Area Name,Division,Sub Division,NCO Name,Total/Rural/Urban,Industrial Category - Total - Persons,Industrial Category - Total - Males,Industrial Category - Total - Females,"Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Persons","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Males","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0223B,29,000,State - Karnataka,0,00,Total,Total,1895300,1059632,835668,271135,125252,145883,19850,13401,6449,148531,65433,83098,236583,137579,99004,6368,5628,740,217160,177870,39290,2321,2197,124,180279,139766,40513,95717,92016,3701,34144,26429,7715,743,613,130,23954,16940,7014,27548,21874,5674,42425,33084,9341,66655,26024,40631,65149,16702,48447,456738,158824,297914
B0223B,29,000,State - Karnataka,0,00,Total,Rural,983067,505746,477321,238447,107325,131122,15248,10169,5079,97127,40181,56946,103022,57087,45935,3148,2900,248,93984,76574,17410,894,815,79,67129,48346,18783,47964,46278,1686,15380,12003,3377,116,113,3,2712,2196,516,6736,5877,859,11273,8899,2374,29950,11712,18238,44772,10602,34170,205165,64669,140496
B0223B,29,000,State - Karnataka,0,00,Total,Urban,912233,553886,358347,32688,17927,14761,4602,3232,1370,51404,25252,26152,133561,80492,53069,3220,2728,492,123176,101296,21880,1427,1382,45,113150,91420,21730,47753,45738,2015,18764,14426,4338,627,500,127,21242,14744,6498,20812,15997,4815,31152,24185,6967,36705,14312,22393,20377,6100,14277,251573,94155,157418
B0223B,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Total,32036,27131,4905,547,283,264,125,125,0,37,29,8,5055,4355,700,248,241,7,4740,4570,170,3,0,3,8151,7045,1106,1288,1195,93,2000,1793,207,14,12,2,1126,837,289,2110,1691,419,3636,2734,902,1102,730,372,13,8,5,1841,1483,358
B0223B,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Rural,8325,6725,1600,490,234,256,67,67,0,2,2,0,801,730,71,65,65,0,1371,1340,31,0,0,0,2047,1588,459,428,410,18,634,554,80,0,0,0,52,41,11,177,148,29,1244,840,404,289,178,111,0,0,0,658,528,130
B0223B,29,000,State - Karnataka,1,00,"Legislators, Senior Officials and Managers",Urban,23711,20406,3305,57,49,8,58,58,0,35,27,8,4254,3625,629,183,176,7,3369,3230,139,3,0,3,6104,5457,647,860,785,75,1366,1239,127,14,12,2,1074,796,278,1933,1543,390,2392,1894,498,813,552,261,13,8,5,1183,955,228
B0223B,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Total,2777,1982,795,11,9,2,0,0,0,0,0,0,65,55,10,20,20,0,24,18,6,0,0,0,6,0,6,15,9,6,0,0,0,0,0,0,12,6,6,30,21,9,1690,1126,564,191,145,46,2,2,0,711,571,140
B0223B,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Rural,1658,1105,553,8,6,2,0,0,0,0,0,0,16,10,6,6,6,0,6,0,6,0,0,0,6,0,6,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,995,597,398,80,55,25,0,0,0,530,420,110
B0223B,29,000,State - Karnataka,1,11,Legislators and Senior Officials,Urban,1119,877,242,3,3,0,0,0,0,0,0,0,49,45,4,14,14,0,18,18,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,12,6,6,28,19,9,695,529,166,111,90,21,2,2,0,181,151,30
B0223B,29,000,State - Karnataka,1,12,Corporate Managers,Total,28958,24910,4048,507,265,242,125,125,0,31,23,8,4860,4194,666,228,221,7,4704,4540,164,3,0,3,8139,7039,1100,1261,1174,87,1995,1788,207,14,12,2,1082,811,271,2037,1627,410,1938,1600,338,906,582,324,11,6,5,1117,903,214
B0223B,29,000,State - Karnataka,1,12,Corporate Managers,Rural,6620,5589,1031,459,219,240,67,67,0,2,2,0,781,718,63,59,59,0,1353,1328,25,0,0,0,2041,1588,453,413,395,18,632,552,80,0,0,0,52,41,11,175,146,29,249,243,6,209,123,86,0,0,0,128,108,20
B0223B,29,000,State - Karnataka,1,12,Corporate Managers,Urban,22338,19321,3017,48,46,2,58,58,0,29,21,8,4079,3476,603,169,162,7,3351,3212,139,3,0,3,6098,5451,647,848,779,69,1363,1236,127,14,12,2,1030,770,260,1862,1481,381,1689,1357,332,697,459,238,11,6,5,989,795,194
B0223B,29,000,State - Karnataka,1,13,General Managers,Total,301,239,62,29,9,20,0,0,0,6,6,0,130,106,24,0,0,0,12,12,0,0,0,0,6,6,0,12,12,0,5,5,0,0,0,0,32,20,12,43,43,0,8,8,0,5,3,2,0,0,0,13,9,4
